golferId,position,firstName,lastName,representsCountryName,overallPar,totalStrokes,isAmateur,age,imageUrl,representsCountryUrl,R1,R2,R3,R4,R3_pairing,R4_pairing,college (at graduation),name
40949,T19,Justin,Thomas,United States,2,286,False,30,https://images.thegolfchannel.com/images/eventphoto/p-t/483977.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,73,69,71,73,27,26,University of Alabama,Justin Thomas
40566,T26,Chris,Baker,United States,3,287,False,37,https://static.golfchannel.com/GC/2018/headshots/Baker_Chris/Baker_Chris_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,74,71,69,73,11,24,Iowa State University,Chris Baker
23957,T26,Martin,Kaymer,Germany,3,287,False,38,https://static.golfchannel.com/GC/2018/headshots/Kaymer_Martin/Kaymer_Martin_L_Closeup.jpg,https://images.thegolfchannel.com/images/element2008/475711.gif,77,68,69,73,9,25,,Martin Kaymer
65028,T26,Rikuya,Hoshino,Japan,3,287,False,27,https://static.golfchannel.com/GC/2018/headshots/Hoshino_Rikuya/Hoshino_Rikuya_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475733.gif,69,74,73,71,23,17,,Rikuya Hoshino
42724,T26,Hideki,Matsuyama,Japan,3,287,False,31,https://images.thegolfchannel.com/images/eventphoto/k-o/483975.jpg,https://images.thegolfchannel.com/images/element2008/475733.gif,69,76,74,68,14,6,Tohoku Fukushi University,Hideki Matsuyama
59146,T26,Bryson,DeChambeau,United States,3,287,False,29,https://static.golfchannel.com/GC/2018/headshots/DeChambeau_Bryson/DeChambeau_Bryson_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,73,69,68,77,29,33,Southern Methodist University,Bryson DeChambeau
56542,T31,Christiaan,Bezuidenhout,South Africa,4,288,False,28,https://images.thegolfchannel.com/images/eventphoto/a-e/483972.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png,72,70,70,76,29,30,,Christiaan Bezuidenhout
61709,T31,Dylan,Wu,United States,4,288,False,26,https://images.thegolfchannel.com/images/affiliatesite/483124.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,70,73,74,71,22,14,Northwestern University,Dylan Wu
65812,T31,Joaquin,Niemann,Chile,4,288,False,24,https://static.golfchannel.com/GC/2018/headshots/Niemann_Joaquin/Niemann_Joaquin_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475643.gif,75,69,71,73,20,21,,Joaquin Niemann
40811,T31,Patrick,Rodgers,United States,4,288,False,30,https://static.golfchannel.com/GC/2018/headshots/Rodgers_Patrick/Rodgers_Patrick_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,70,71,77,70,30,9,Stanford University,Patrick Rodgers
12875,T35,Edoardo,Molinari,Italy,5,289,False,42,https://static.golfchannel.com/GC/2018/headshots/Molinari_Edoardo/Molinari_Edoardo_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475731.gif,70,76,72,71,4,12,,Edoardo Molinari
64778,T35,Sungjae,Im,South Korea,5,289,False,25,https://images.thegolfchannel.com/images/eventphoto/f-j/483987.jpg,https://images.thegolfchannel.com/images/element2008/475741.gif,72,72,69,76,18,27,Korea National Sport University,Sungjae Im
12290,T35,Adam,Scott,Australia,5,289,False,42,https://images.thegolfchannel.com/images/eventphoto/p-t/483968.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif,70,75,71,73,14,19,"University of Nevada, Las Vegas",Adam Scott
68117,T35,Robert,MacIntyre,Scotland,5,289,False,26,https://images.thegolfchannel.com/images/headshot-player-large/483545.png,https://images.thegolfchannel.com/images/element2008/475842.png,71,73,72,73,20,18,McNeese State University,Robert MacIntyre
43232,T35,Lanto,Griffin,United States,5,289,False,34,https://static.golfchannel.com/GC/2018/headshots/Griffin_Lanto/Griffin_Lanto_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,76,69,69,75,12,24,Virgina Commonwealth University,Lanto Griffin
20571,T40,Chez,Reavie,United States,6,290,False,41,https://static.golfchannel.com/GC/2018/headshots/Reavie_Chez/Reavie_Chez_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,76,68,72,74,21,17,Arizona State University,Chez Reavie
13307,T40,Wade,Ormsby,Australia,6,290,False,43,https://static.golfchannel.com/GC/2018/headshots/Ormsby_Wade/Ormsby_Wade_R_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif,72,74,73,71,7,8,University of Houston,Wade Ormsby
